%FAMILY zh-cn

// ========================================================
// MARK : PURPOSE
// ========================================================

&&Svd_phase_0 序幕
&&Album_Memory_005_ixia_b 伊夏同学的问候（败北分支）
&&Album_Memory_010_primula 普莉姆拉老师和夏丝塔祖母
&&Album_Memory_011_primula 星空奇谭
&&Album_Memory_102_alma 与阿尔玛在车站的对话
&&Album_Memory_104_mepha 精灵之村的先遣队

// ========================================================
// MARK : ver0.25 quest
// ========================================================
&&scenario_desc_pvv_0105_grazia__0 前往贝尔米特士官学园
&&scenario_desc_pvv_0105_grazia__1 前往学园的医务室
&&scenario_desc_pvv_0105_grazia__2 前往西楼1-2教室


&&quest__subquest_treasurehunt_000 寻找照片中的地点（编织者之森）



// ========================================================
// MARK : 240728 新增回忆相册
// ========================================================

// 240729 hinayua: ↑ 231004 的实装部分略有修改。

&&EV_access_album 回忆相册
&&Album_Memory_009_primula_a 爱丽丝梦游仙境
&&Album_Memory_009_primula_b 爱丽丝梦游仙境（败北分支）
&&Album_Memory_100_restroom 走廊的潜行作战
&&Album_Memory_105_2weekattack 贝尔米特袭击事件
&&Album_Memory_105_classroom 想要成为你
&&Album_Memory_cuts_nightingale_0_0 商人小姐的秘密采购

&&Album_Play_Memory 播放
&&Album_visible_term 解锁条件: &1
&&Album_visible_term_episode_1 完成序章
&&Album_visible_term_100_restroom 完成序章后回到家中洗澡
&&Album_visible_term_103 击败土龙救出伊夏
&&Album_visible_term_102_alma 与阿尔玛谈论袭击事件
&&Album_visible_term_105 到达格拉提亚
&&Album_visible_term_106 和阿尔玛一同在格拉提亚上课
&&Album_visible_term_105_2weekattack 在贝尔米特操场回想起之前的事件
&&Album_visible_term_105_classroom 在贝尔米特上课
&&Album_visible_term_troom 在「魔女杂货店」的休息室进行服务
&&Album_visible_term_cuts_nightingale_0_0 完成商人小姐委托的差事

&&Album_Tab_Osok 惩罚
&&Album_coming_soon 敬请期待……



&&Fatal_exists_in_this_battle 要是输掉这场战斗就完了…！
/* ___ Album_fatal_hint ___ */
提示：如果在战斗开始时显示了诸如「要是输掉这场战斗就完了」这样的信息，
那么说明在败北后将会进入战败事件。


&&subquest_nightingale_apple__0 去魔女杂货店购入相应物品
&&subquest_nightingale_apple__1 将物品交给南丁格尔小姐

// 中黒
&&quest_dot ・




// ========================================================
// MARK : ver0.27
// ========================================================

&&scenario_desc_pvv_0106_tigrina_armory__0 给遇到的神秘女生帮忙
&&scenario_desc_pvv_0106_tigrina_armory__1 探索武器库


// アルバムでのアレ 

&&Album_failure_1st 第1次失败
&&Album_failure_2nd 第2次失败
&&Album_failure_3rd 第3次失败
&&Album_visible_term_106_tigrina 潜入武器库时被士兵发现
&&Album_Osok_106_sneaking_mistake 潜入武器库失败

&&Album_Memory_106_tigrina_garage 前沿工学交流室
&&Album_visible_term_106_tigrina_garage 从武器库中取回存储卡


&&scenario_desc_pvv_0106_search_scl__1 在学园中四处探索

&&scenario_desc_pvv_0106_search_scl__0 前往食堂

// ========================================================
// MARK : ver0.28
// ========================================================


&&quest__subquest_city_forge_buy__0 完成法杖的测试任务


&&scenario_desc_pvv_0107_td__0 指挥贝尔米特保卫战


&&scenario_desc_pvv_0107_td_after__0 调查武器库的情况

&&quest__subquest_city_forge_access__0 去铁匠铺问问\n更换法杖的事情


// ========================================================
// MARK : ver0.29
// ========================================================

&&scenario_desc_pvv_0200_alice__0 追寻幽灵的线索

&&scenario_desc_pvv_0200_alice_goback__0 返回格拉提亚



/* ___ Telop_Trial_end200  ___ */
未完待续

// 当前暂时用不到这一句。
&&quest__p999_trial_finished_w 体验版的内容到此为止，敬请期待成品版吧

&&scenario_desc_pvv_0200_alice_mine1__0 寻找第一坑道的入口
&&scenario_desc_pvv_0200_alice_mine1__1 寻找突破坑道中障碍的方法
&&scenario_desc_pvv_0200_alice_mine1__2 突破第一坑道中的障碍
&&scenario_desc_pvv_0200_alice_mine1__3 在第一坑道中追寻幽灵的踪迹


&&scenario_desc_pvv_0200_elec_facil__0 前往供电所
&&scenario_desc_pvv_0200_elec_facil__1 恢复电力供应
&&scenario_desc_pvv_0200_elec_facil__3 寻找逃出此地的方法
&&scenario_desc_pvv_0200_elec_facil__4 逃离供电所


&&scenario_desc_ooparts03__0 为支持遗物的研究工作\b去制作鱼肉卷饼
&&scenario_desc_ooparts03__1 去交给考古学家
&&scenario_desc_ooparts03__2 将已解析的古代装置\b交给格拉提亚的杰出科学家
&&scenario_desc_ooparts03__3 补全并修复古代装置


&&quest__subquest_treasurehunt_000__5 寻找照片中的地点（？？？）
&&quest__subquest_treasurehunt_001__5 寻找照片中的地点（？？？）

&&quest__subquest_treasurehunt_001 寻找照片中的地点（拓荒者山岳）



// ========================================================
// MARK : 030
// ========================================================


&&Album_visible_term_200 完成整场格拉提亚保卫战


&&Album_visible_term_215 完成主线剧情第2章「幽灵」


&&quest__subquest_mount_cocktail__0 在格拉提亚的酒吧\b帮瓦罗斯点一杯\b他喜欢的鸡尾酒
&&quest__subquest_mount_cocktail__1 在酒吧打工
&&quest__subquest_mount_cocktail__2 在酒吧点一杯\b「满杯热吻197」
&&quest__subquest_mount_cocktail__3 把鸡尾酒带给瓦罗斯


&&quest__subquest_city_forge_030__0 领取铁匠的礼物
