%FAMILY zh-tc

// ========================================================
// MARK : PURPOSE
// ========================================================

&&Svd_phase_0 序章
&&scenario_desc_ooparts03__0 為了研究超文物\b而製作炸魚塔可
&&scenario_desc_ooparts03__1 交給考古學家
&&scenario_desc_ooparts03__2 將解讀完的古代裝置\b交到古拉提亞\b優秀的科學家手上
&&scenario_desc_ooparts03__3 完成古代裝置


&&quest__subquest_treasurehunt_000__5 尋找照片的地點 (???)
&&quest__subquest_treasurehunt_001__5 尋找照片的地點 (???)

&&quest__subquest_treasurehunt_001 尋找照片的地點 (開拓者山岳)
